0,"antarktis, net, beschluss, westen, arktisroute, antrag, aktuell, aufstrebende, volksrepublik, flusskreuzfahrt"
1,"wissenschaft, zollpolitik, zeitenwende, terrorismus, südamerika, verkehrsträgern, biodiesel, fahrt, expedia, ordinary"
2,"suezkanal, ozeanien, rechtspopulismus, nordostpassage, partner, welt, neuer, nen, militärischen, annexionspläne"
3,"nähe, nördlich, region, norway, nördliche, weather, realistische, atlantik, armdick, wert"
4,"abhängigkeit, eisbedeckung, begrenzter, ressourcen, route, verbrennungsmotor, schifffahrtsunternehmen, nansen, hohe, wissen"
5,"absolute, zeit, enzyme, informationspapiere, ländern, magazin, kilometer, erkundung, handelswege, 28"
6,"amerikanische, amtszeit, afd, ausgelegt, bau, deutsch, weltordnung, archiv, ausweichroute, wiener"
7,"altersasyl, versorgungsinfrastruktur, asylum, ausbau, auftauen, baumeister, arbanassi, wirtschaftsordnung, wirtschaftliche, armgelenk"
8,"zentrale, wissenschaftsjahr, druck, schifffahrt, methanol, geographie, agcs, asia, atomeisbrecher, verzögerung"
9,"24, anno, strategie, aufstieg, autumn, schwarzen, zugang, radikale, enormen, südchinesisches"
