0,"10, ambassador, andres, weltmeeren, wirtschaft, wynaendts, aufsichtsräte, dienstleistungsbereich, courage, curriculum"
1,"iw, kai, und, kurs, hydrogen, asia, annual, arrival, smartport, reelection"
2,"china, 23, ag, org, cn, krisenmanagement, association, women, descriptionangela, teilen"
3,"hhla, pk, hhulf, net, faz, hello, customers, cargo, dvz, lb"
4,"jpg, 20, 16, annette, apr, berthold, agenda, ctt, vorstandsvorsitzende, vorsitzender"
5,"13, q1_20130307_2200, indd, причины, medigene, stake, statement, innovative, vitae, order"
6,"group, growth, logistics, trieste, aufsichtsrat, international, interim, gestrigen, new, msc"
7,"bankenbranche, bank, oliver, solution, stuttgart, steiger, logistik, luftfracht, jansen, januar"
8,"globalen, kb, italy, antje, kultur, vorstand, information, walter, investor, entwicklung"
9,"juni, karriereführer, la, weber, krieg, ukraine, investment, bankengruppe, hyek, test"
