0,"thb, verteilung, schiff, stagnation, landsiedel, reederei, entwicklung, bmdv, kennzahlen, halbjahr"
1,"ethische, zusammenstoß, thema, soziale, presse, views, maritimer, güterverkehr, 14, feb"
2,"wasser, woche, university, standort, statistiken, technology, shorts, selbstfahrende, risiken, schienenverkehr"
3,"zum, yara, videos, voller, studie, markt, fahren, expertensystem, akzeptanz, ams"
4,"ziel, testschiff, logo, effiziente, recht, zentrale, systemen, herausforderungen, fähre, gewählt"
5,"5g, waffen, tuhh, sicherheit, berufliches, weltweit, busse, 30, 10, ersten"
6,"zufällig, youtube, untitled, schienen, semi, deutschlands, kieler, hgk, flandern, fähren"
7,"weit, vertreter, riesiges, tatsächlichen, assistent, 25, einsatz, jul, fahrzeugen, gastbeitrag"
8,"computer, belgischen, sep, statista, subscribers, teil, multimodaler, networked, head, gewässern"
9,"volle, vortragsreihe, verkehr, science, riesen, systems, shipping, schiffe, cyber, ausblick"
