0,"union, unternehmen, 2017, ende, video, stresstest, thinktank, weiterentwicklung, zukunftssicherung, schster"
1,"stand, zukunft, vergangene, unterschiedlichen, tarifvertrag, sicherheit, unabhängige, tiziert, uniti, weiterbildung"
2,"wissenschaften, unerschlossenes, speyer, nord, jun, konzern, meilenstein, sas, projekt, internationales"
3,"zusammenhang, wirtschaft, services, themen, prognos, live, linkedin, partner, politik, iwo"
4,"stiftungen, stärken, claus, aktiv, evaluation, seefahrt, pflegeprojekten, soziale, öffentlicher, potenzial"
5,"vorstandsvorsitzender, wettbewerb, park, mobility, dienstgrade, wissenschaft, neue, rochelle, mai, selten"
6,"menschen, sicherung, ofp, norddeutschland, konferenzen, logistik, profil, 2016, gesellschaft, geschäftsführer"
7,"10, sorgung, neuakzentuierung, mar, qualifizierte, gesamt, heitswirtschaft, hintergrund, jahresabschluss, traineeprogramm"
8,"zentrum, wissen, wirtschafts, stadt, stepstone, plus, mew, maschinenbau, erste, holsteinische"
9,"klärwerk, info, verkehrsträger, tarifvertrags, stärker, talente, steckbriefe, jul, märz, vereinsblatt"
