0,"gmbh, luft, market, bbe, list, number, novum, kooperationen, port, pdfa4"
1,"mission, mensch, stadt, atmosphere, catón, talk, fur, tropical, vorstandsmitglied, jährige"
2,"dmz, xl, marsec, advanced, aipark, business, challenge, verkehrsforum, bremen, biogas"
3,"se, maritim, social, carnival, cases, aias, köhler, november, viktoria, münchen"
4,"medical, bewertungen, manager, studies, verband, veränderungen, zds, hiffstechnik, agrar, einfuhrumsatzsteuer"
5,"698, 40, moderatorinnen, moderator, referenten, referentinnen, web, hanna, stand, jörgens"
6,"anglistenverband, wissenschaft, berg, berufsbildungsstelle, dst, ehrgeizige, chinesisches, topics, biofuels, referenzen"
7,"dlr, www, dr, digitalisierung, bayern, mariko, nbn, jun, bundesverband, kompetenzprüfung"
8,"mitarbeiter, dmi, bonn, research, keul, verkehrslage, website, vorsitzender, atmosphäre, 10"
9,"32nd, bsk, wasserstoff, dgon, vertical, drop, emergencies, markgrafenstraße, meere, rescue"
