0,"sofort, comments, initiative, range, intelligence, traditional, unity, bold, atlanticists, track"
1,"cdu, dnoticias, pt, bridge, bloc, ally, brazilian, chairman, doctrine, analysis"
2,"chancellor, tag, 2025, merz, geral, 24, friedrich, ex, trump, today"
3,"book, election, getty, afp, cduvorsitz, big, appearance, alexandra, articles, type"
4,"burchard, 25th, school, set, speaking, dislike, office, federal, risk, tv"
5,"zelenskyyua, merz, energy, corporate, liveticker, archives, center, close, atlanticist, volker"
6,"feb, assistance, victory, watershed, committee, beier, climate, clients, thalia, elaine"
7,"volodymyr, announcement, america, visiting, breaking, bridges, calm, bundestag, bazooka, berlin"
8,"years, ambassador, vechta, ans, critic, border, contributions, competitiveness, counsel, gzero"
9,"transatlanticist, spending, sydney, coalition, change, title, bsw, brown, spd, news"
