0,"073400, inx, icp, valve, association, sustainability, commission, companies, compliance, core"
1,"297, year, value, avenue, visitor, skills, studies, summers, countries, current"
2,"kilometres, chinese, paper, tank, able, analysis, measure, leave, masterplan, world"
3,"15, 2020, wp, 36, ac, 2017, mid, competitive, allied, artificial"
4,"learning, level, sales, agriculture, coastal, office, high, negative, environment, government"
5,"innovation, statista, critical, institutional, iww, alternative, transpo, trans, general, bdb"
6,"centre, italy, sketch, insurance, great, smart, briefing, mowing, goods, visits"
7,"wistar, bamberg, measures, lex, baleinières, baltic, manner, group, forecasting, coasters"
8,"meteorological, waterways, comparison, concern, lifts, integration, total, uniforms, low, gallic"
9,"2021a, knowledge, aug, karl, uk, encs, nautical, deal, digital, memories"
