0,"adenauer, zdin, aktiven, ziele, zentrale, audit, anwendungen, bahn, basierte, beispiele"
1,"klinikorganisation, anlagenzustandes, küste, jan, kooperation, interesse, amerikanisch, landes, lernens, antriebskonzepte"
2,"luft, tech, ausbau, direktes, partner, technikfolgen, der, prozesse, vision, perspektiven"
3,"22, biogasanlagen, bam, entscheidend, kongress, technologie, branchen, stärkung, nachhaltige, klimaneutralitäts"
4,"2024, 2019, q2, schlüsselbranchen, weitere, vernetzte, aufträge, aufgestellt, volltext, abschätzung"
5,"14, wirt, iso, august, innen, projektleiter, tc8, best, verwunderte, page"
6,"konsortialpartnern, maritime, intelligence, band, weiteres, langansicht, ex, bundesverband, symbolbild, corona"
7,"zukunft, wettbewerbsfähig, zent, 26, aktuelles, windenergiebranche, automotive, bedarfe, autonomer, wasserstoff"
8,"ki, www, https, bundesregierung, service, strategie, home, deutschland, breg, opendata"
9,"ki, sh, ep, lage, kalkar, holstein, line, ikt, identifizierung, homeport"
