0,"13, innen, follower, zeichen, work, banken, cotton, authority, ansiedelung, cutting"
1,"abb, 10, ag, areas, ammonia, wirtschaft, berufsschullehrer, baden, beitrag, bundesweit"
2,"corona, wichtigsten, activité, bremen, wichtiger, belgium, bunkerstandorte, dienstleistungen, exception, record"
3,"maritime, aerien, zuversichtlich, pandemie, potenzialstudie, prof, zweiter, provider, mangelnde, wikipedia"
4,"nov, industry, beratung, blick, ma, translation, communication, maschinen, january, leistungsstarke"
5,"abbildung, umfrage, accelleron, agents, africa, airbus, parc, parcel, new, bereiche"
6,"kunststoff, kautschuk, 11, leaders, ampel, anschütz, leader, konferenz, know, zentralen"
7,"schiffbau, werften, 31, 05, 2017, alternative, wichtig, mar, nationale, kontakt"
8,"gmbh, wachstumsaussichten, nutzung, hochschule, ozeanen, arne, middle, home, ausblick, wettbewerbsfähigen"
9,"management, apr, aug, arbeitgeber, ministerium, leasing, europe, existing, elementarer, christiania"
