0,"deutsche, www, https, flagge, sicherheit, tatortes, nov, sicherung, eigene, podium"
1,"amazon, com, westen, diskussion, weiterentwicklung, zeiten, springerlink, bewaffneten, herausgeber, forschungsschwerpunkt"
2,"bundespolizei, verkehr, strategie, ispk, security, wichtige, books, gps, copy, flags"
3,"ziel, uhr, land, kräfte, konferenz, raums, angriffe, gesetzt, energie, msz"
4,"sicherheitspolitik, ocean, vernetzung, sicherheitszentrum, universität, vessels, systeme, dienstag, einheit, ersten"
5,"sitz, taten, hafenstaatkontrolle, innenministerium, montag, navy, lesedauer, konzept, internationalen, gids"
6,"wirtschaft, vertretung, stand, sicherheitsunternehmen, studies, umbruchs, absicherung, bundes, bmdv, bootsgruppe"
7,"startseite, spezialisierten, seerecht, vanguard, wasserseitigen, studien, sicherheitsforschung, germany, küstenländer, gemeinsame"
8,"deutschen, condor, strafrecht, stgb, wirtschafts, similar, kommission, netzwerktreffen, einzige, kenya"
9,"unternehmen, kontrollen, mar, building, understanding, weiter, schutzes, große, potentiellen, vernetzung"
