0,"solarenergie, technical, mutige, expert, geprägte, kontakte, energien, notwendig, thematisch, spreter"
1,"deutschland, planning, norddeutschland, sectors, bremerhaven, ship, cluster, global, neue, premier"
2,"pragmatische, north, bfn, 2023, handlungsempfehlungen, farms, inspirationen, marine, bundesverband, digital"
3,"wirtschaft, aufgabe, integration, impacts, manager, conference, umfeld, songbird, sea, zukunft"
4,"activities, management, personal, oberlandesgericht, windenergie, spatial, feb, deutschlandweite, batmove, adriatic"
5,"umgebung, windforce, transport, trackbird, stärker, spreter, offshore, sea, bird, ausbildung"
6,"wind, ort, 12, fishing, industrie, institutionen, energiewende, berufserfahrung, angelehnten, aquaculture"
7,"windea, vessels, baltic, group, schritte, strategische, bwo, 10, naturschutz, spreter"
8,"erneuerbaren, migration, albania, 2024, windindustrie, weiteren, synergy, hamburg, juni, fachgespräch"
9,"qualifizierung, synergies, idealer, meere, sustainable, solutions, presse, songbird, schleswig, caspar"
