0,"amazon, com, net, electrive, ministerpräsidentin, tourismus, unterstützung, verkehr, aircraft, il"
1,"bürger, innenbeteiligung, birresborn, career, experience, guten, unenforced, videoblog, kontakte, ohio"
2,"healy, goals, gmbh, gruppe, statistische, website, isaiah, wahlkreis, webangebot, hopewell"
3,"pz7, k5087, interviewer, guy, exercise, unsafe, schutz, parliamentary, bonn, ken"
4,"mdl, methods, feb, focus, transport, eastern, mal, babies, tage, parlamentarischer"
5,"anthony, geschäftsführer, informationen, tricks, vergangenen, heim, verkehrsminister, amt, ansicht, arc"
6,"cdu, csu, schnieder, jpg, berlin, analysis, arzfeld, ivanovska, intersection, february"
7,"zeitung, groupe, hours, human, vorstandsvorsitzende, anträge, wahlprüfungsverfahren, gespräche, intended, athletic"
8,"engineering, wikidata, fraktionen, geplanten, apr, drittanbietern, anstehen, thema, technology, deutschlands"
9,"abgeordnetenwatch, asthma, alysha, archiv, cincinnati, clark, abgeordnete, record, roth, preview"
