0,"teneointeldeu, personal, https, com, sharepoint, motorenhersteller, kommandobrücke, hsva, größten, konferenz"
1,"16, indd, weltschifffahrtsorganisation, automobil, anlagenbau, aktuelle, ausbau, stabilität, sorgen, shipping"
2,"74, aussteller, auftragsbücher, global, china, bertram, im, international, vonovia, höchste"
3,"eur, 10, 24, stratege, meerestechnik, schwerpunkten, französischen, schiffbauzulieferindustrie, firma, mittelständisch"
4,"insolvenzverwalter, wembley, usa, internen, infoportal, mitarbeiter, augusthälfte, mar, mitte, aug"
5,"lufthansa, corp, 17, wörterbuch, transaktion, mitarbeitenden, wasserdichter, ger, ort, nautischer"
6,"jahrelangem, becker, linguee, kaeser, marineoperations, markterschließungsprogramms, maschinenbauer, waffenkonstrukteur, print, generatoren"
7,"news, furness, wachstum, ankerwinden, welt, dementsprechend, digitalisierung, deutsch, 12, ziel"
8,"32, außenwirtschaftspreis, verein, aufgestellten, speditionen, strategie, treibstoffsparendere, türen, bar, germany"
9,"maritime, vereine, organisationen, leistungsschau, standort, konzern, industrieverbandes, hr, umsatz, management"
