0,"zusätzlich, langfristig, konferenz, kontraproduktiv, wendepunkt, weiter, bereich, medizintechnik, vorpommern, bekanntmachung"
1,"05, interviews, aug, landesverbände, impulspapier, image, herausragender, herausforderungen, man, wachstumspotenzial"
2,"offshore, schifffahrt, eas, iis, automatisierungstechnik, aktionsplan, cluster, wettbewerbsfähigen, unverzichtbar, deutsches"
3,"20, meerestechnik, 7571, anstrengungen, angenommene, frühjahr, energieintensiver, visual, vielfalt, gemeinsames"
4,"13, deutsche, www, einig, ausbildungskapazitäten, weltweit, strukturen, welt, besatzung, page"
5,"wr, energy, unabhängige, beispielhaft, japan, ports, mcn, massive, rückblick, gesetz"
6,"eu, europa, lex, dst2025, sector, stellungnahme, chancen, nationaler, wörterbuch, vertreter"
7,"schiff, thb, zivile, wechsel, implikationen, attraktivität, bedeutung, lieferketten, ländern, jan"
8,"holstein, ausbau, maritimen, pressemitteilung, realisierbar, dekarbonisierung, zentrum, vergangenen, handlungsfelder, aufgabe"
9,"schiffbau, 11, besser, batterieforschung, bedeutende, abgestimmten, diana, unterstützung, energiekosten, deutscher"
