Keyword,Trend-Wachstum
congress,70.0
messe,36.0
hotel,33.0
center,28.0
maritim,23.0
hamburg,16.666666666666668
smm,15.0
marine,12.0
trade,11.0
gmbh,10.0
industry,7.0
international,6.0
technology,6.0
fair,6.0
events,5.0
europe,5.0
germany,5.0
messeplatz,4.0
shipping,4.0
fukuoka,4.0
interiors,4.0
meeting,4.0
event,3.5
gmbh.,3.0
b,3.0
sep,3.0
exhibition,3.0
transition,2.0
eingang,2.0
next,2.0
global,2.0
shipbuilding,2.0
president,2.0
conference,2.0
hotels,2.0
world,2.0
